Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-09-18,,Libertadores,Quarter-finals,Wed,Home,,,,uyPeñarol,,,,,,,,,Head-to-Head,Leg 1 of 2
2024-09-22,,Série A,Matchweek 27,Sun,Away,,,,Grêmio,,,,,,,,,Head-to-Head,
2024-09-25,,Libertadores,Quarter-finals,Wed,Away,,,,uyPeñarol,,,,,,,,,Head-to-Head,Leg 2 of 2
2024-09-29,,Série A,Matchweek 28,Sun,Home,,,,Ath Paranaense,,,,,,,,,Head-to-Head,
2024-10-05,,Série A,Matchweek 29,Sat,Away,,,,Bahia,,,,,,,,,Head-to-Head,
2024-10-20,,Série A,Matchweek 30,Sun,Home,,,,Fluminense,,,,,,,,,Head-to-Head,
2024-10-26,,Série A,Matchweek 31,Sat,Home,,,,Juventude,,,,,,,,,Head-to-Head,
2024-11-06,,Série A,Matchweek 32,Wed,Away,,,,Cruzeiro,,,,,,,,,Head-to-Head,
2024-11-13,,Série A,Matchweek 33,Wed,Home,,,,Atlético Mineiro,,,,,,,,,Head-to-Head,
2024-11-20,,Série A,Matchweek 34,Wed,Away,,,,Cuiabá,,,,,,,,,Head-to-Head,
2024-11-24,,Série A,Matchweek 35,Sun,Away,,,,Fortaleza,,,,,,,,,Head-to-Head,
2024-12-01,,Série A,Matchweek 36,Sun,Home,,,,Internacional,,,,,,,,,Head-to-Head,
2024-12-04,,Série A,Matchweek 37,Wed,Away,,,,Criciúma,,,,,,,,,Head-to-Head,
2024-12-08,,Série A,Matchweek 38,Sun,Home,,,,Vitória,,,,,,,,,Head-to-Head,
