Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-08-21,21:30,Libertadores,Round of 16,Wed,Away,D,2,2,brPalmeiras,1.2,2.7,35,"40,269",Marlon Freitas,4-2-3-1,4-2-3-1,,Match Report,Leg 2 of 2; Botafogo (RJ) won
2024-08-25,16:00,Série A,Matchweek 24,Sun,Away,D,0,0,Bahia,0.8,0.9,47,,Tchê Tchê,4-2-3-1,4-1-3-2,,Match Report,
2024-08-31,21:00,Série A,Matchweek 25,Sat,Home,W,2,0,Fortaleza,1.8,0.4,64,,Marlon Freitas,4-2-3-1,4-2-3-1,Flavio Rodrigues de Souza,Match Report,
2024-09-14,21:00,Série A,Matchweek 26,Sat,Home,W,2,1,Corinthians,2.2,2.0,57,,Marlon Freitas,4-2-3-1,3-4-1-2,Anderson Daronco,Match Report,
2024-09-18,21:30,Libertadores,Quarter-finals,Wed,Home,D,0,0,brSão Paulo,1.5,0.7,63,,Marlon Freitas,4-2-3-1,3-4-3,Esteban Ostojich,Match Report,Leg 1 of 2
2024-09-21,18:30,Série A,Matchweek 27,Sat,Away,,,,Fluminense,,,,,,,,,Head-to-Head,
2024-09-25,21:30,Libertadores,Quarter-finals,Wed,Away,,,,brSão Paulo,,,,,,,,,Head-to-Head,Leg 2 of 2; Botafogo (RJ) 0:0 São Paulo
2024-09-28,21:00,Série A,Matchweek 28,Sat,Home,,,,Grêmio,,,,,,,,,Head-to-Head,
2024-10-05,16:30,Série A,Matchweek 29,Sat,Away,,,,Ath Paranaense,,,,,,,,,Head-to-Head,
2024-10-20,,Série A,Matchweek 30,Sun,Home,,,,Criciúma,,,,,,,,,Head-to-Head,
2024-10-26,,Série A,Matchweek 31,Sat,Away,,,,Red Bull Bragantino,,,,,,,,,Head-to-Head,
2024-11-06,,Série A,Matchweek 32,Wed,Home,,,,Vasco da Gama,,,,,,,,,Head-to-Head,
2024-11-13,,Série A,Matchweek 33,Wed,Home,,,,Cuiabá,,,,,,,,,Head-to-Head,
2024-11-20,,Série A,Matchweek 34,Wed,Away,,,,Atlético Mineiro,,,,,,,,,Head-to-Head,
2024-11-24,,Série A,Matchweek 35,Sun,Home,,,,Vitória,,,,,,,,,Head-to-Head,
2024-12-01,,Série A,Matchweek 36,Sun,Away,,,,Palmeiras,,,,,,,,,Head-to-Head,
2024-12-04,,Série A,Matchweek 37,Wed,Away,,,,Internacional,,,,,,,,,Head-to-Head,
2024-12-08,,Série A,Matchweek 38,Sun,Home,,,,São Paulo,,,,,,,,,Head-to-Head,
