Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-04-02,20:00,Libertadores,Group stage,Tue,Away,L,0,2,boThe Strongest,0.5,1.8,47,"10,782",Fábio,4-2-3-1,4-3-3,,Match Report,
2024-04-09,19:00,Libertadores,Group stage,Tue,Home,L,0,2,clHuachipato,3.0,0.9,65,,Pedro Geromel,4-3-3,4-3-3,,Match Report,
2024-04-14,16:00,Série A,Matchweek 1,Sun,Away,L,1,2,Vasco da Gama,1.2,0.9,53,"17,722",Walter Kannemann,4-2-3-1,4-3-3,,Match Report,
2024-04-17,19:00,Série A,Matchweek 2,Wed,Home,W,2,0,Ath Paranaense,1.1,0.2,48,"13,236",Pedro Geromel,4-3-3,4-2-3-1,,Match Report,
2024-04-20,18:30,Série A,Matchweek 3,Sat,Home,W,1,0,Cuiabá,0.6,1.3,57,"22,904",Mathías Villasanti,4-2-3-1,5-4-1,,Match Report,
2024-04-23,19:00,Libertadores,Group stage,Tue,Away,W,1,0,arEstudiantes,1.5,0.6,39,"22,065",Pedro Geromel,4-2-3-1,4-3-3,,Match Report,
2024-04-27,21:00,Série A,Matchweek 4,Sat,Away,L,0,1,Bahia,0.1,1.1,40,"35,836",Walter Kannemann,4-3-3,4-2-3-1,,Match Report,
2024-05-11,21:00,Série A,Matchweek 6,Sat,Away,,,,Atlético Mineiro,,,,,,,,,,Match Postponed
2024-05-29,19:00,Libertadores,Group stage,Wed,Home,W,4,0,boThe Strongest,1.2,0.6,46,"23,107",Walter Kannemann,4-2-3-1,4-2-3-1,,Match Report,
2024-06-01,16:00,Série A,Matchweek 7,Sat,Home,L,0,2,Red Bull Bragantino,0.8,1.4,45,"7,563",Mathías Villasanti,4-2-3-1,4-3-3,,Match Report,
2024-06-04,20:00,Libertadores,Group stage,Tue,Away,W,1,0,clHuachipato,1.0,0.9,40,"4,520",Walter Kannemann,4-2-3-1,4-3-3,,Match Report,
2024-06-08,19:00,Libertadores,Group stage,Sat,Home,D,1,1,arEstudiantes,0.9,0.7,44,"32,472",Walter Kannemann,4-2-3-1,4-1-4-1,,Match Report,
2024-06-13,20:00,Série A,Matchweek 8,Thu,Away,L,1,2,Flamengo,1.0,1.0,58,"51,785",Walter Kannemann,4-4-2,4-2-3-1,,Match Report,
2024-06-16,18:30,Série A,Matchweek 9,Sun,Home,L,1,2,Botafogo (RJ),1.0,0.7,45,"15,595",Pedro Geromel,4-4-1-1,4-2-3-1,,Match Report,
2024-06-19,20:00,Série A,Matchweek 10,Wed,Away,L,0,1,Fortaleza,1.0,1.7,48,"16,935",Reinaldo,4-3-3,4-2-3-1,,Match Report,
2024-06-22,17:30,Série A,Matchweek 11,Sat,Home,L,0,1,Internacional,0.5,1.1,58,"27,961",Pedro Geromel,4-2-3-1,4-2-3-1,,Match Report,
2024-06-26,20:00,Série A,Matchweek 12,Wed,Away,D,1,1,Atl Goianiense,0.4,1.7,50,"7,319",Walter Kannemann,4-3-3,4-3-3,,Match Report,
2024-06-30,16:00,Série A,Matchweek 13,Sun,Home,W,1,0,Fluminense,1.0,0.5,48,"8,549",Pedro Geromel,4-2-3-1,3-4-3,,Match Report,
