Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Wéverton,brBRA,GK,36-281,25.0,17,1,1,0,1,28.9,0.27,+12.9,+0.52,103,325,31.7,625,127,41.6,38.0,161,40.4,38.4,291,30,10.3,21,0.84,14.0,Matches
Marcelo Lomba,brBRA,GK,37-276,1.0,2,0,0,0,0,1.0,0.34,-1.0,-0.97,1,4,25.0,18,4,22.2,24.7,7,0.0,13.6,7,1,14.3,0,0.00,8.0,Matches
Squad Total,,,27.2,26.0,19,1,1,0,1,29.9,0.27,+11.9,+0.46,104,329,31.6,638,131,41.4,,173,37.6,36.8,298,31,10.4,21,0.81,,
Opponent Total,,,28.3,26.0,43,4,1,6,2,46.3,0.28,+5.3,+0.20,173,420,41.2,594,111,44.6,36.8,269,57.6,42.9,512,29,5.7,29,1.12,13.0,
