Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Walter,brBRA,GK,36-306,24.0,38,5,1,5,0,40.4,0.29,+2.4,+0.10,126,272,46.3,455,96,36.7,34.5,192,54.7,41.8,412,16,3.9,9,0.38,10.5,Matches
Mateus Pasinato,brBRA,GK,32-083,1.0,0,0,0,0,0,0.5,0.18,+0.5,+0.53,7,15,46.7,15,4,40.0,33.0,11,81.8,51.5,14,0,0.0,0,0.00,4.7,Matches
Squad Total,,,28.4,25.0,38,5,1,5,0,40.9,0.29,+2.9,+0.12,133,287,46.3,469,100,36.7,,204,56.4,42.5,426,16,3.8,9,0.36,,
Opponent Total,,,28.2,25.0,23,4,1,3,1,27.1,0.26,+5.1,+0.20,102,244,41.8,554,101,32.9,33.0,174,35.6,33.6,322,26,8.1,19,0.76,12.5,
