Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Hugo Souza,brBRA,GK,25-232,10.0,11,3,0,0,0,14.9,0.23,+3.9,+0.39,32,93,34.4,188,49,37.8,34.3,64,34.4,31.6,128,5,3.9,8,0.80,15.9,Matches
Matheus Donelli,brBRA,GK,22-125,7.0,12,1,1,2,0,10.2,0.21,-1.8,-0.26,20,66,30.3,145,29,31.7,31.3,53,37.7,33.3,113,1,0.9,1,0.14,12.1,Matches
Carlos Miguel,brBRA,GK,25-346,6.0,7,1,0,0,2,7.1,0.21,+2.1,+0.35,33,66,50.0,139,26,29.5,32.5,46,54.3,43.8,98,4,4.1,6,1.00,13.7,Matches
Cássio,brBRA,GK,37-105,3.0,3,0,0,0,0,3.7,0.27,+0.7,+0.24,11,25,44.0,68,16,26.5,31.6,19,36.8,38.0,29,3,10.3,1,0.33,12.4,Matches
Squad Total,,,26.6,26.0,33,5,1,2,2,35.9,0.23,+4.9,+0.19,96,250,38.4,538,120,32.7,,184,40.2,35.5,368,13,3.5,16,0.62,,
Opponent Total,,,28.7,26.0,23,2,0,4,0,27.2,0.21,+4.2,+0.16,101,299,33.8,545,98,34.7,33.7,216,50.9,39.3,443,29,6.5,27,1.04,13.1,
