Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Fábio,brBRA,GK,43-355,25.0,28,2,0,5,0,36.9,0.30,+8.9,+0.36,58,195,29.7,439,107,31.2,30.0,189,30.7,23.6,375,17,4.5,18,0.72,12.0,Matches
Squad Total,,,31.0,25.0,28,2,0,5,0,36.9,0.30,+8.9,+0.36,58,195,29.7,424,107,30.2,,204,32.8,24.6,375,17,4.5,18,0.72,,
Opponent Total,,,28.3,25.0,21,1,0,3,1,27.2,0.26,+7.2,+0.29,85,269,31.6,555,89,37.8,34.7,153,38.6,35.0,307,20,6.5,13,0.52,12.8,
