Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Éverson,brBRA,GK,34-059,14.0,18,1,0,2,0,13.7,0.28,-4.3,-0.31,43,99,43.4,319,48,25.4,29.9,75,24.0,29.1,142,6,4.2,14,1.00,15.6,Matches
Matheus Mendes,brBRA,GK,25-193,10.0,18,1,0,2,0,22.1,0.37,+4.1,+0.41,23,58,39.7,214,46,16.8,24.9,71,31.0,25.1,133,9,6.8,14,1.40,15.8,Matches
Squad Total,,,28.6,24.0,36,2,0,4,0,35.8,0.33,-0.2,-0.01,66,157,42.0,533,94,22.0,,146,27.4,27.2,275,15,5.5,28,1.17,,
Opponent Total,,,28.9,24.0,32,8,2,2,0,35.4,0.27,+3.4,+0.14,121,334,36.2,491,83,43.6,36.6,191,62.8,44.4,404,18,4.5,16,0.67,12.3,
