Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Lucas Arcanjo,brBRA,GK,26-042,26.0,39,2,1,8,0,32.1,0.26,-6.9,-0.26,81,303,26.7,595,75,35.1,32.9,191,49.2,42.2,457,19,4.2,12,0.46,10.8,Matches
Squad Total,,,27.6,26.0,39,2,1,8,0,32.1,0.26,-6.9,-0.26,81,303,26.7,592,75,35.3,,194,48.5,41.7,457,19,4.2,12,0.46,,
Opponent Total,,,28.5,26.0,28,5,0,3,1,31.2,0.25,+4.2,+0.16,54,169,32.0,526,108,24.5,30.0,154,26.0,29.2,392,20,5.1,20,0.77,13.6,
