Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Gustavo,brBRA,GK,31-193,21.7,36,3,3,3,1,36.5,0.29,+1.5,+0.07,110,261,42.1,394,73,45.2,37.5,197,42.1,35.4,352,18,5.1,6,0.28,10.2,Matches
Alisson,brBRA,GK,29-103,3.3,4,0,0,1,0,3.2,0.25,-0.8,-0.25,18,55,32.7,64,15,48.4,37.4,40,60.0,46.0,66,3,4.5,1,0.30,10.0,Matches
Squad Total,,,30.9,25.0,40,3,3,4,1,39.7,0.29,+0.7,+0.03,128,316,40.5,455,88,45.7,,240,45.0,37.2,418,21,5.0,7,0.28,,
Opponent Total,,,28.5,25.0,32,0,2,5,0,35.9,0.31,+3.9,+0.16,71,204,34.8,496,97,31.3,32.6,182,26.9,29.1,333,17,5.1,25,1.00,14.9,
