Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Agustín Rossi,arARG,GK,29-029,24.0,29,2,0,7,1,31.4,0.34,+3.4,+0.14,105,254,41.3,733,111,28.5,31.2,132,34.1,33.1,305,33,10.8,14,0.58,12.9,Matches
Matheus Cunha,brBRA,GK,23-118,1.0,0,0,0,0,0,0.3,0.12,+0.3,+0.35,6,13,46.2,39,4,23.1,29.3,7,57.1,34.6,11,1,9.1,0,0.00,6.0,Matches
Squad Total,,,28.2,25.0,29,2,0,7,1,31.7,0.33,+3.7,+0.15,111,267,41.6,746,115,29.2,,165,29.7,29.3,316,34,10.8,14,0.56,,
Opponent Total,,,28.2,25.0,40,5,1,4,1,43.3,0.29,+4.3,+0.17,128,313,40.9,643,119,34.8,33.6,199,44.7,37.0,367,25,6.8,16,0.64,12.2,
