Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Rafael Pires,brBRA,GK,35-088,15.0,15,2,0,4,1,13.1,0.24,-0.9,-0.06,57,138,41.3,311,46,30.5,32.2,100,43.0,35.0,157,7,4.5,8,0.53,13.3,Matches
Jandrei,brBRA,GK,31-202,11.0,11,1,0,1,1,8.0,0.17,-2.0,-0.18,60,152,39.5,331,51,34.7,35.2,89,41.6,37.9,171,11,6.4,5,0.45,12.1,Matches
Squad Total,,,29.0,26.0,26,3,0,5,2,21.1,0.21,-2.9,-0.11,117,290,40.3,638,97,32.9,,193,41.5,35.7,328,18,5.5,13,0.50,,
Opponent Total,,,28.4,26.0,34,2,1,5,1,33.6,0.27,+0.6,+0.02,89,258,34.5,594,94,33.2,33.1,173,35.3,32.4,368,19,5.2,18,0.69,12.5,
