Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Agustín Marchesín,arARG,GK,36-187,16.0,17,5,0,2,1,19.0,0.21,+3.0,+0.19,87,243,35.8,327,43,52.0,40.0,121,60.3,44.3,251,18,7.2,11,0.69,11.6,Matches
Rafael Cabral,brBRA,GK,34-122,5.0,8,1,0,0,0,8.4,0.32,+0.4,+0.09,24,72,33.3,104,19,45.2,36.8,46,54.3,40.6,69,5,7.2,2,0.40,13.6,Matches
Caíque,brBRA,GK,27-050,3.0,5,0,0,1,1,4.1,0.31,+0.1,+0.02,9,39,23.1,44,14,59.1,41.7,23,56.5,43.7,43,3,7.0,1,0.33,12.4,Matches
Squad Total,,,28.8,24.0,30,6,0,3,2,31.5,0.25,+3.5,+0.14,120,354,33.9,474,76,51.3,,191,58.1,43.2,363,26,7.2,14,0.58,,
Opponent Total,,,28.2,24.0,25,2,0,5,0,29.3,0.27,+4.3,+0.18,104,242,43.0,517,83,33.8,33.0,142,47.2,38.1,270,9,3.3,12,0.50,13.2,
