Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
João Ricardo Riedi,brBRA,GK,36-013,26.0,25,3,0,6,0,36.0,0.25,+11.0,+0.42,144,357,40.3,474,102,50.8,39.8,209,55.5,43.7,474,31,6.5,12,0.46,10.2,Matches
Squad Total,,,30.5,26.0,25,3,0,6,0,36.0,0.25,+11.0,+0.42,144,357,40.3,473,102,51.0,,210,55.2,43.5,474,31,6.5,12,0.46,,
Opponent Total,,,27.8,26.0,32,3,1,3,2,34.8,0.34,+4.8,+0.18,86,236,36.4,572,95,31.3,32.2,178,32.0,31.9,356,20,5.6,24,0.92,14.2,
