Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Ronaldo,brBRA,GK,28-028,22.0,34,3,1,3,2,30.2,0.28,-1.8,-0.08,122,294,41.5,419,68,43.7,37.2,173,64.2,46.8,316,22,7.0,18,0.82,13.9,Matches
Pedro Rangel,brBRA,GK,24-082,4.0,7,2,0,1,0,8.2,0.30,+1.2,+0.30,23,56,41.1,121,15,36.4,35.7,25,48.0,42.5,50,5,10.0,3,0.75,12.9,Matches
Squad Total,,,27.3,26.0,42,5,2,4,2,39.0,0.29,-1.0,-0.04,145,350,41.4,532,83,42.7,,206,59.7,44.9,366,27,7.4,21,0.81,,
Opponent Total,,,28.2,26.0,21,3,0,3,1,25.0,0.20,+5.0,+0.19,107,319,33.5,558,110,36.7,35.0,211,54.0,42.1,420,32,7.6,21,0.81,11.8,
