Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Leonardo Linck,brBRA,GK,23-200,13.6,21,0,1,3,0,18.5,0.31,-2.5,-0.19,62,145,42.8,276,55,40.2,36.3,78,43.6,41.6,200,10,5.0,10,0.74,11.3,Matches
Bento,brBRA,GK,25-101,7.0,4,0,0,1,0,6.5,0.24,+2.5,+0.36,45,86,52.3,123,18,39.8,34.8,47,78.7,55.7,86,6,7.0,2,0.29,11.3,Matches
Mycael,brBRA,GK,20-191,3.4,4,0,0,0,0,4.9,0.27,+0.9,+0.26,4,23,17.4,62,14,27.4,29.7,20,30.0,30.4,33,0,0.0,1,0.30,9.2,Matches
Squad Total,,,27.3,24.0,29,0,1,4,0,29.8,0.29,+0.8,+0.03,111,254,43.7,424,87,41.0,,182,44.0,38.7,319,16,5.0,13,0.54,,
Opponent Total,,,28.0,24.0,27,1,1,1,1,32.1,0.25,+6.1,+0.26,111,296,37.5,627,127,32.4,33.2,224,41.5,36.4,433,38,8.8,14,0.58,11.5,
