Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Léo Jardim,brBRA,GK,29-183,25.0,35,0,1,7,0,40.9,0.31,+5.9,+0.24,123,302,40.7,443,97,47.6,38.0,207,44.0,40.0,411,21,5.1,6,0.24,10.6,Matches
Squad Total,,,28.1,25.0,35,0,1,7,0,40.9,0.31,+5.9,+0.24,123,302,40.7,442,97,47.7,,208,43.8,39.9,411,21,5.1,6,0.24,,
Opponent Total,,,28.4,25.0,30,0,1,6,1,28.2,0.29,-0.8,-0.03,56,162,34.6,463,103,25.3,29.4,171,26.3,27.7,386,22,5.7,16,0.64,12.2,
