,Goals,Expected,Launched,Passes,Goal Kicks,Crosses,Sweeper,Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen
2,brBRA,GK,34-055,13.0,15,1,0,0,12.0,0.26,-3.0,-0.23,40,93,43.0,305,47,25.6,30.0,63,23.8,29.3,Matches,6,4.6,14,1.08,15.9
2,brBRA,GK,25-189,10.0,18,1,0,0,22.1,0.37,+4.1,+0.41,23,58,39.7,214,46,16.8,24.9,71,31.0,25.1,Matches,9,6.8,14,1.40,15.8
