Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Gabriel,brBRA,GK,31-358,22.5,31,6,1,1,0,38.2,0.27,+7.2,+0.32,78,215,36.3,592,101,26.2,31.4,170,35.3,34.2,327,29,8.9,31,1.38,13.2,Matches
Mateus Claus,brBRA,GK,30-047,3.5,5,0,0,1,0,5.9,0.23,+0.9,+0.24,15,60,25.0,98,19,30.6,31.0,35,85.7,52.2,89,2,2.2,2,0.57,9.8,Matches
Squad Total,,,29.0,26.0,36,6,1,2,0,44.1,0.26,+8.1,+0.31,93,275,33.8,685,120,26.6,,210,44.3,37.6,416,31,7.5,33,1.27,,
Opponent Total,,,28.3,26.0,31,0,1,6,0,34.1,0.33,+3.1,+0.12,115,292,39.4,594,96,35.4,33.8,198,41.4,35.9,366,22,6.0,24,0.92,12.7,
