Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Sergio Rochet,uyURU,GK,31-180,14.0,11,0,0,0,0,12.4,0.26,+1.4,+0.10,58,168,34.5,294,47,43.5,35.9,81,49.4,38.8,172,16,9.3,22,1.57,14.9,Matches
Fabrício,brBRA,GK,38-256,8.0,8,1,0,3,0,8.1,0.22,+0.1,+0.01,20,77,26.0,150,32,38.0,32.2,50,40.0,35.6,120,5,4.2,7,0.88,14.1,Matches
Anthoni,brBRA,GK,22-240,2.0,1,0,0,0,0,1.8,0.18,+0.8,+0.41,14,45,31.1,46,5,52.2,38.6,26,80.8,56.2,47,1,2.1,0,0.00,9.4,Matches
Squad Total,,,28.6,24.0,20,1,0,3,0,22.3,0.24,+2.3,+0.10,92,290,31.7,489,84,42.7,,158,51.3,40.6,339,22,6.5,29,1.21,,
Opponent Total,,,28.4,24.0,27,1,0,3,1,31.4,0.26,+5.4,+0.23,110,273,40.3,581,109,32.9,33.8,185,44.3,38.1,388,24,6.2,19,0.79,12.7,
