Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
John,brBRA,GK,28-219,23.0,21,5,0,1,0,26.5,0.25,+5.5,+0.24,96,257,37.4,662,85,27.9,31.3,148,48.6,40.5,316,21,6.6,30,1.30,15.5,Matches
Gatito Fernández,pyPAR,GK,36-174,3.0,4,0,0,1,0,3.9,0.43,-0.1,-0.03,18,35,51.4,77,9,29.9,32.5,18,66.7,47.9,54,2,3.7,3,1.00,11.0,Matches
Squad Total,,,28.8,26.0,25,5,0,2,0,30.4,0.27,+5.4,+0.21,114,292,39.0,711,94,29.3,32.5,194,43.3,36.4,370,23,6.2,33,1.27,11.0,
Opponent Total,,,28.4,26.0,45,4,1,9,0,44.0,0.28,-1.0,-0.04,110,268,41.0,543,119,37.9,34.4,194,32.0,30.6,384,17,4.4,24,0.92,15.6,
