Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Cleiton Schwengber,brBRA,GK,27-031,18.0,22,0,0,3,1,24.6,0.29,+3.6,+0.20,83,252,32.9,482,80,46.1,38.4,117,25.6,30.6,270,20,7.4,33,1.83,15.8,Matches
Lucão,brBRA,GK,23-206,6.0,8,0,0,1,0,6.8,0.23,-1.2,-0.20,18,69,26.1,115,25,40.0,35.9,55,41.8,35.5,155,4,2.6,7,1.16,12.9,Matches
Fabrício,brBRA,GK,24-096,1.0,2,0,0,0,0,2.7,0.40,+0.7,+0.69,3,7,42.9,16,7,37.5,33.1,5,20.0,20.2,12,0,0.0,0,0.00,7.0,Matches
Squad Total,,,25.2,25.0,32,0,0,4,1,34.1,0.28,+3.1,+0.12,104,328,31.7,610,112,44.9,,180,30.0,31.8,437,24,5.5,40,1.60,,
Opponent Total,,,28.5,25.0,31,3,0,6,0,33.1,0.28,+2.1,+0.08,131,352,37.2,628,114,41.9,36.9,194,45.9,36.4,357,27,7.6,25,1.00,13.6,
