Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Marcos Felipe,brBRA,GK,28-159,26.0,27,0,2,3,0,27.5,0.26,+0.5,+0.02,105,228,46.1,836,155,20.6,27.3,165,33.9,28.5,388,40,10.3,57,2.19,17.3,Matches
Squad Total,,,28.6,26.0,27,0,2,3,0,27.5,0.26,+0.5,+0.02,105,228,46.1,826,155,20.8,,175,32.0,27.3,388,40,10.3,57,2.19,,
Opponent Total,,,28.2,26.0,37,1,1,3,0,38.7,0.32,+1.7,+0.07,87,242,36.0,438,96,39.7,34.9,186,36.6,33.7,327,20,6.1,31,1.19,15.7,
