Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Pablo,brBRA,DF,33-090,1,29,29,1.2,0.3,0,,0,1,29,1,3.00,1,0,+1,+3.10,+2.36,0.1,0.0,+0.1,+0.51,+0.15,Matches
Fabiano,brBRA,DF,18-157,1,22,22,0.9,0.2,0,,0,1,22,6,1.00,1,0,+1,+4.09,+3.35,0.1,0.3,-0.2,-0.68,-1.05,Matches
Jacob Montes,niNCA,"FW,MF",25-335,1,19,19,0.8,0.2,0,,0,1,19,4,3.00,1,1,0,0.00,-0.78,0.1,0.2,-0.1,-0.26,-0.62,Matches
Alex Telles,brBRA,DF,31-279,1,16,16,0.7,0.2,0,,0,1,16,0,3.00,0,0,0,0.00,-0.77,0.1,0.1,0.0,0.00,-0.36,Matches
Adryelson,brBRA,DF,26-180,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Lucas Barreto,brBRA,GK,22-214,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Janderson,brBRA,FW,25-136,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Luis Segovia,ecECU,DF,26-329,0,,,,,0,,0,0,,14,,,,,,,,,,,,Matches
Raul Steffens,brBRA,GK,27-053,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
Squad Total,,,28.8,26,"2,340",90,100,26.0,286,80,162,124,24,183,2.04,45,25,+20,+0.77,,37.2,27.9,+9.3,+0.36,,
Opponent Total,,,28.4,26,"2,340",90,100,26.0,286,80,166,119,21,177,0.77,25,45,-20,-0.77,,27.9,37.2,-9.3,-0.36,,
