Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Leonardo Realpe,ecECU,DF,23-206,1,90,90,4.0,1.0,1,90,1,0,,9,1.00,2,2,0,0.00,+0.04,1.3,0.8,+0.6,+0.56,+0.79,Matches
Bruninho,brBRA,"FW,MF",21-189,2,79,40,3.5,0.9,1,60,0,1,19,2,3.00,2,0,+2,+2.28,+2.40,0.6,0.8,-0.2,-0.25,-0.06,Matches
Everton,brBRA,FW,22-208,1,25,25,1.1,0.3,0,,0,1,25,4,1.00,0,0,0,0.00,+0.04,0.0,0.1,0.0,-0.15,+0.05,Matches
Juliano,brBRA,FW,16-202,1,24,24,1.1,0.3,0,,0,1,24,4,0.00,0,0,0,0.00,+0.04,0.1,0.1,+0.1,+0.28,+0.48,Matches
Chumbinho,brBRA,"MF,FW",20-363,2,12,6,0.5,0.1,0,,0,2,6,2,0.00,0,1,-1,-7.50,-7.50,0.3,0.4,-0.1,-0.75,-0.55,Matches
Riquelme,brBRA,MF,18-256,1,6,6,0.3,0.1,0,,0,1,6,4,0.00,0,0,0,0.00,+0.04,0.0,0.0,0.0,0.00,+0.20,Matches
Arthur,brBRA,FW,21-191,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Gabriel Caetano,brBRA,MF,22-138,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Johan Caicedo,coCOL,MF,20-190,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Danilo,brBRA,DF,20-071,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Dija,brBRA,DF,21-158,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Kelvin Flórez,coCOL,MF,20-225,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Victor Hugo,brBRA,MF,21-054,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Isac,brBRA,DF,18-170,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Gabriel Lopes,brBRA,MF,18-069,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Kauan Martins,brBRA,DF,20-292,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
João Neto,brBRA,FW,21-121,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Marcos Paulo,brBRA,DF,21-245,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Gustavo Reis,brBRA,GK,19-101,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Marcos Vinicius,brBRA,MF,20-248,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,25.2,25,"2,250",90,100,25.0,275,77,149,125,27,171,1.24,31,32,-1,-0.04,,26.0,30.9,-4.9,-0.20,,
Opponent Total,,,28.5,25,"2,250",90,100,25.0,275,77,158,117,21,176,1.48,32,31,+1,+0.04,,30.9,26.0,+4.9,+0.20,,
