Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Anthoni,brBRA,GK,22-240,2,180,90,8.3,2.0,2,90,2,0,,17,2.33,3,1,+2,+1.00,+0.77,1.8,2.7,-1.0,-0.50,-1.34,Matches
Lucca Drummond,brBRA,FW,20-251,5,159,32,7.4,1.8,2,58,0,3,15,7,1.20,2,0,+2,+1.13,+0.91,1.8,1.6,+0.2,+0.10,-0.68,Matches
Gustavo Prado,brBRA,"FW,MF",19-105,19,462,24,21.4,5.1,1,55,0,18,23,5,1.42,8,7,+1,+0.19,-0.12,11.3,6.5,+4.8,+0.94,+0.26,Matches
Matheus Dias,brBRA,"FW,MF",27-225,3,71,24,3.3,0.8,1,45,0,2,13,8,0.67,1,1,0,0.00,-0.30,1.3,0.8,+0.5,+0.59,-0.15,Matches
Ricardo Mathias,brBRA,"FW,MF",18-056,4,64,16,3.0,0.7,0,,0,4,16,5,1.75,3,0,+3,+4.22,+4.05,4.3,0.2,+4.2,+5.85,+5.27,Matches
Nathan,brBRA,DF,23-014,1,5,5,0.2,0.1,0,,0,1,5,2,3.00,0,1,-1,-18.00,-18.33,0.3,0.2,+0.1,+2.13,+1.40,Matches
Clayton,brBRA,DF,24-168,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Evertow,brBRA,DF,17-231,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Kauan,brBRA,GK,21-145,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Luis Otávio,brBRA,MF,17-160,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Yago,brBRA,FW,17-227,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,28.6,24,"2,160",90,100,24.0,264,81,154,111,22,161,1.58,27,20,+7,+0.29,,37.6,20.0,+17.6,+0.73,,
Opponent Total,,,28.4,24,"2,160",90,100,24.0,264,81,150,112,24,163,1.08,20,27,-7,-0.29,,20.0,37.6,-17.6,-0.73,,
