Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Erick Marcus,brBRA,"FW,MF",20-202,6,174,29,7.7,1.9,0,,0,6,29,4,1.33,4,4,0,0.00,+0.22,3.0,2.6,+0.4,+0.21,+0.65,Matches
Lyncon,brBRA,DF,19-135,1,45,45,2.0,0.5,0,,0,1,45,2,3.00,2,1,+1,+2.00,+2.24,0.6,1.1,-0.5,-1.01,-0.63,Matches
Sergio Antonio De Luiz Junior,brBRA,"FW,MF",29-166,2,41,21,1.8,0.5,0,,0,2,21,4,0.50,0,1,-1,-2.20,-2.03,1.0,0.3,+0.7,+1.48,+1.91,Matches
Alex Teixeira,brBRA,FW,34-257,1,13,13,0.6,0.1,0,,0,1,13,3,0.00,0,0,0,0.00,+0.20,0.3,0.0,+0.2,+1.68,+2.09,Matches
Bruno Lopes,brBRA,FW,17-056,1,11,11,0.5,0.1,0,,0,1,11,1,3.00,1,0,+1,+8.18,+8.42,0.2,0.1,+0.2,+1.23,+1.63,Matches
Maxime Dominguez,chSUI,MF,28-231,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Lucas Eduardo,brBRA,MF,20-250,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Luiz Gustavo,brBRA,DF,18-160,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
Keiller,brBRA,GK,27-326,0,,,,,0,,0,0,,20,,,,,,,,,,,,Matches
Patrick de Lucca,brBRA,MF,24-201,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Pablo,brBRA,GK,21-221,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Squad Total,,,28.1,25,"2,250",90,100,25.0,275,79,150,124,23,175,1.40,30,35,-5,-0.20,,24.4,34.3,-9.9,-0.39,,
Opponent Total,,,28.4,25,"2,250",90,100,25.0,275,79,151,123,23,174,1.40,35,30,+5,+0.20,,34.3,24.4,+9.9,+0.39,,
