Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Rafael Haller,uyURU,DF,24-033,2,52,26,2.2,0.6,0,,0,2,26,2,3.00,2,1,+1,+1.73,+2.60,1.1,1.6,-0.4,-0.77,-0.61,Matches
Mateo Zuleta,coCOL,"FW,MF",22-104,4,49,12,2.1,0.5,0,,0,4,12,5,0.75,1,1,0,0.00,+0.82,2.0,0.5,+1.5,+2.72,+2.96,Matches
Matías Lacava,veVEN,MF,21-331,2,36,18,1.5,0.4,0,,0,2,18,0,0.00,0,0,0,0.00,+0.82,0.6,0.5,+0.1,+0.22,+0.41,Matches
Gustavo Campanharo,brBRA,MF,32-168,2,17,9,0.7,0.2,0,,0,2,9,4,0.00,0,0,0,0.00,+0.81,0.3,0.0,+0.2,+1.29,+1.48,Matches
Eli,brBRA,FW,20-180,1,14,14,0.6,0.2,0,,0,1,14,1,0.00,0,0,0,0.00,+0.81,0.1,0.3,-0.2,-1.00,-0.82,Matches
Randerson,brBRA,MF,20-191,2,14,7,0.6,0.2,0,,0,2,7,6,0.50,0,0,0,0.00,+0.81,0.2,0.1,+0.1,+0.87,+1.06,Matches
Gustavo Daniel,brBRA,DF,19-196,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Jean Carlos Alves Ferreira,brBRA,MF,19-134,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Emerson Júnior,brBRA,GK,24-225,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
Pedro Paranhos,brBRA,FW,17-343,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,27.3,26,"2,340",90,100,26.0,286,80,162,118,23,140,0.69,21,42,-21,-0.81,,28.6,33.3,-4.7,-0.18,,
Opponent Total,,,28.2,26,"2,340",90,100,26.0,286,80,156,126,20,177,2.08,42,21,+21,+0.81,,33.3,28.6,+4.7,+0.18,,
