Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Carlos Alcaraz,arARG,MF,21-294,1,44,44,2.0,0.5,0,,0,1,44,0,0.00,0,1,-1,-2.05,-2.54,0.2,0.9,-0.7,-1.47,-1.73,Matches
Cleiton,brBRA,DF,21-147,1,5,5,0.2,0.1,0,,0,1,5,17,3.00,1,0,+1,+18.00,+17.60,0.2,0.0,+0.2,+3.52,+3.30,Matches
João Carbone,brBRA,DF,19-234,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Francisco Dyogo,brBRA,GK,20-254,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
Fabiano,brBRA,MF,19-100,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Iago,brBRA,DF,19-154,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Rayan,brBRA,MF,19-260,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
Daniel Sales,brBRA,DF,18-088,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Lucas Furtado dos Santos,brBRA,MF,19-194,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Ogundana Shola,ngNGA,FW,19-210,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Weliton,clCHI,FW,19-159,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,28.2,25,"2,250",90,100,25.0,275,81,170,108,23,192,1.80,40,29,+11,+0.44,,34.6,28.8,+5.8,+0.23,,
Opponent Total,,,28.2,25,"2,250",90,100,25.0,275,81,152,118,20,169,0.96,29,40,-11,-0.44,,28.8,34.6,-5.8,-0.23,,
