Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Nathan Fernandes,brBRA,"FW,MF",19-216,16,464,29,21.5,5.2,1,45,0,15,28,5,0.69,3,4,-1,-0.19,+0.02,4.6,6.6,-2.0,-0.39,-0.42,Matches
Rodrigo Caio,brBRA,DF,31-033,2,107,54,5.0,1.2,1,90,1,1,17,10,1.00,2,4,-2,-1.68,-1.55,1.0,2.3,-1.3,-1.05,-1.05,Matches
Alexander Aravena,clCHI,FW,22-013,4,92,23,4.3,1.0,1,45,0,3,16,2,2.25,1,1,0,0.00,+0.22,1.7,1.3,+0.4,+0.41,+0.49,Matches
Matias Arezo,uyURU,"FW,MF",21-303,5,68,14,3.1,0.8,0,,0,5,14,4,2.00,2,1,+1,+1.32,+1.58,1.6,1.0,+0.6,+0.79,+0.87,Matches
Alysson Edward,brBRA,"MF,FW",18-137,2,49,25,2.3,0.5,0,,0,2,25,3,0.00,0,1,-1,-1.84,-1.67,0.4,0.9,-0.5,-0.95,-0.92,Matches
Ronald,brBRA,"MF,DF",21-221,7,35,5,1.6,0.4,0,,0,7,5,12,1.86,0,2,-2,-5.14,-5.02,1.2,1.8,-0.6,-1.51,-1.47,Matches
Lucas Besozzi,arARG,MF,21-241,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Gabriel Chapecó,brBRA,GK,24-174,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Lucas Milla,brBRA,MF,21-235,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Igor Schlemper,brBRA,DF,19-202,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Viery,brBRA,DF,19-261,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Wesley,brBRA,DF,20-259,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Squad Total,,,28.8,24,"2,160",90,100,24.0,264,80,144,118,21,167,1.17,25,30,-5,-0.21,,27.2,28.6,-1.4,-0.06,,
Opponent Total,,,28.2,24,"2,160",90,100,24.0,264,80,149,116,25,168,1.67,30,25,+5,+0.21,,28.6,27.2,+1.4,+0.06,,
