Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Isaac,brBRA,"FW,DF",20-148,5,149,30,6.6,1.7,1,75,0,4,19,7,0.20,0,2,-2,-1.21,-0.99,1.0,2.3,-1.3,-0.81,-0.51,Matches
Esquerdinha,brBRA,"DF,FW",18-204,5,128,26,5.7,1.4,1,45,0,4,21,5,1.00,1,0,+1,+0.70,+1.04,2.1,1.9,+0.2,+0.14,+0.51,Matches
Felipe Vieira,,"DF,MF",,6,161,27,7.2,1.8,0,,0,6,27,11,0.83,1,4,-3,-1.68,-1.50,1.6,2.0,-0.4,-0.25,+0.10,Matches
Jan Lucumí González,coCOL,"FW,MF",20-221,3,92,31,4.1,1.0,0,,0,3,31,7,0.33,1,1,0,0.00,+0.29,2.2,0.7,+1.5,+1.42,+1.84,Matches
Lucas Calegari,brBRA,DF,22-205,2,80,40,3.6,0.9,0,,0,2,40,4,0.00,0,3,-3,-3.38,-3.21,0.4,2.2,-1.8,-2.00,-1.72,Matches
Gabriel Fuentes,coCOL,DF,27-223,1,12,12,0.5,0.1,0,,0,1,12,0,0.00,0,2,-2,-15.00,-14.80,0.2,0.3,-0.2,-1.17,-0.83,Matches
Felipe Alves Raymundo,brBRA,GK,36-121,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
Arthur,brBRA,MF,20-208,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Matheus dos Reis,brBRA,FW,17-170,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Vitor Eudes,brBRA,GK,25-334,0,,,,,0,,0,0,,15,,,,,,,,,,,,Matches
Gustavo,brBRA,GK,22-003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Victor Hugo,brBRA,MF,20-132,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Justen,brBRA,DF,21-078,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Rafael Monteiro,brBRA,DF,20-218,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Wallace,brBRA,DF,17-132,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,31.0,25,"2,250",90,100,25.0,275,80,155,119,22,175,1.08,21,28,-7,-0.28,,21.0,29.5,-8.5,-0.34,,
Opponent Total,,,28.3,25,"2,250",90,100,25.0,275,80,160,116,23,176,1.68,28,21,+7,+0.28,,29.5,21.0,+8.5,+0.34,,
