Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Mateus Vital,brBRA,"MF,FW",26-220,11,197,18,8.4,2.2,0,,0,11,18,10,1.36,6,1,+5,+2.28,+2.20,3.4,1.3,+2.1,+0.96,+1.16,Matches
Rafael Elias,brBRA,FW,25-160,5,103,21,4.4,1.1,0,,0,5,21,2,2.00,3,1,+2,+1.75,+1.55,1.4,0.8,+0.6,+0.51,+0.65,Matches
Arthur Rodrigues,brBRA,"FW,MF",20-220,3,82,27,3.5,0.9,0,,0,3,27,5,0.33,0,3,-3,-3.29,-3.69,0.3,3.1,-2.8,-3.09,-3.09,Matches
João Pedro,brBRA,"FW,MF",21-230,3,81,27,3.5,0.9,0,,0,3,27,3,1.33,0,0,0,0.00,-0.28,0.2,1.3,-1.1,-1.21,-1.15,Matches
Wesley Gasolina,brBRA,"DF,MF",24-190,2,48,24,2.1,0.5,0,,0,2,24,15,0.50,0,0,0,0.00,-0.27,0.2,0.4,-0.2,-0.41,-0.31,Matches
Fabrizio Peralta,pyPAR,MF,22-048,1,2,2,0.1,0.0,0,,0,1,2,3,0.00,0,0,0,0.00,-0.27,0.2,0.0,+0.2,+9.31,+9.42,Matches
Léo Aragão,brBRA,GK,22-153,0,,,,,0,,0,0,,13,,,,,,,,,,,,Matches
Rafael Bilu,brBRA,MF,25-151,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Gabriel Chapecó,brBRA,GK,24-174,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Dorival,brBRA,MF,20-226,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Jhosefer,brBRA,FW,20-194,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Jonathan,brBRA,DF,20-115,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
Pedrão,brBRA,DF,20-257,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Tevis Gabriel Alves Santos,brBRA,FW,18-235,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Weverton,brBRA,DF,21-215,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Squad Total,,,27.5,26,"2,340",90,100,26.0,286,80,155,129,21,179,1.58,34,27,+7,+0.27,,26.9,29.7,-2.7,-0.11,,
Opponent Total,,,28.6,26,"2,340",90,100,26.0,286,80,157,125,25,180,1.23,27,34,-7,-0.27,,29.7,26.9,+2.7,+0.11,,
