,Playing Time,Performance,Penalty Kicks,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt
13,brBRA,GK,34-055,13,"1,170",13.0,15,1.15,43,28,67.4,4,7,2,4,30.8,1,1,0,0,0.0,Matches
10,brBRA,GK,25-189,10,900,10.0,18,1.80,55,36,69.1,4,2,4,1,10.0,2,1,1,0,50.0,Matches
