Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Léo Jardim,brBRA,GK,29-183,25,25,"2,250",25.0,35,1.40,134,99,73.9,10,5,10,6,24.0,0,0,0,0,,Matches
Squad Total,,,28.1,25,25,"2,250",25.0,35,1.40,134,99,73.9,10,5,10,6,24.0,0,0,0,0,,
Opponent Total,,,28.4,25,25,"2,250",25.0,30,1.20,94,63,68.1,10,5,10,7,28.0,2,0,2,0,100.0,
