Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Éverson,brBRA,GK,34-059,14,14,"1,260",14.0,18,1.29,47,29,63.8,4,7,3,4,28.6,1,1,0,0,0.0,Matches
Matheus Mendes,brBRA,GK,25-193,10,10,900,10.0,18,1.80,55,36,69.1,4,2,4,1,10.0,2,1,1,0,50.0,Matches
Squad Total,,,28.6,24,24,"2,160",24.0,36,1.50,102,65,66.7,8,9,7,5,20.8,3,2,1,0,33.3,
Opponent Total,,,28.9,24,24,"2,160",24.0,32,1.33,107,75,77.6,7,9,8,6,25.0,8,8,0,0,0.0,
