Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Leonardo Linck,brBRA,GK,23-200,14,14,"1,223",13.6,21,1.55,65,44,67.7,3,4,7,1,7.1,0,0,0,0,,Matches
Bento,brBRA,GK,25-101,7,7,630,7.0,4,0.57,25,20,84.0,4,1,2,4,57.1,1,0,1,0,100.0,Matches
Mycael,brBRA,GK,20-191,5,3,305,3.4,4,1.18,18,14,77.8,1,1,1,0,0.0,0,0,0,0,,Matches
Squad Total,,,27.3,24,24,"2,158",24.0,29,1.21,108,78,73.1,8,6,10,5,20.8,1,0,1,0,100.0,
Opponent Total,,,28.0,24,24,"2,160",24.0,27,1.13,126,100,79.4,10,6,8,6,25.0,1,1,0,0,0.0,
