Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
John,brBRA,GK,28-219,23,23,"2,070",23.0,21,0.91,87,65,81.6,14,5,4,9,39.1,6,5,1,0,16.7,Matches
Gatito Fernández,pyPAR,GK,36-174,3,3,270,3.0,4,1.33,9,5,55.6,2,0,1,1,33.3,0,0,0,0,,Matches
Squad Total,,,28.8,26,26,"2,340",26.0,25,0.96,96,70,79.2,16,5,5,10,38.5,6,5,1,0,16.7,
Opponent Total,,,28.4,26,26,"2,340",26.0,45,1.73,144,98,71.5,5,5,16,2,7.7,6,4,1,1,20.0,
