Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Fábio,brBRA,GK,43-355,25,25,"2,250",25.0,28,1.12,120,92,78.3,7,6,12,7,28.0,2,2,0,0,0.0,Matches
Squad Total,,,31.0,25,25,"2,250",25.0,28,1.12,120,92,78.3,7,6,12,7,28.0,2,2,0,0,0.0,
Opponent Total,,,28.3,25,25,"2,250",25.0,21,0.84,102,82,80.4,12,6,7,9,36.0,1,1,0,0,0.0,
