Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Marcos Felipe,brBRA,GK,28-159,26,26,"2,340",26.0,27,1.04,111,84,75.7,12,6,8,8,30.8,0,0,0,0,,Matches
Squad Total,,,28.6,26,26,"2,340",26.0,27,1.04,111,84,75.7,12,6,8,8,30.8,0,0,0,0,,
Opponent Total,,,28.2,26,26,"2,338",26.0,37,1.42,119,82,69.7,8,6,12,4,15.4,1,1,0,0,0.0,
