Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Wéverton,brBRA,GK,36-281,25,25,"2,250",25.0,17,0.68,103,87,84.5,15,5,5,12,48.0,2,1,0,1,0.0,Matches
Marcelo Lomba,brBRA,GK,37-276,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Matches
Squad Total,,,27.2,26,26,"2,340",26.0,19,0.73,106,88,83.0,15,5,6,12,46.2,2,1,0,1,0.0,
Opponent Total,,,28.3,26,26,"2,340",26.0,43,1.65,150,108,74.0,6,5,15,8,30.8,5,4,1,0,20.0,
