Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Cleiton Schwengber,brBRA,GK,27-031,19,19,"1,619",18.0,22,1.22,83,61,73.5,7,5,7,2,10.5,1,0,1,0,100.0,Matches
Lucão,brBRA,GK,23-206,7,5,541,6.0,8,1.33,29,21,72.4,1,2,2,1,20.0,0,0,0,0,,Matches
Fabrício,brBRA,GK,24-096,1,1,90,1.0,2,2.00,7,5,71.4,0,0,1,0,0.0,0,0,0,0,,Matches
Squad Total,,,25.2,25,25,"2,250",25.0,32,1.28,119,87,73.1,8,7,10,3,12.0,1,0,1,0,100.0,
Opponent Total,,,28.5,25,25,"2,250",25.0,31,1.24,113,82,75.2,10,7,8,4,16.0,3,3,0,0,0.0,
