Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Gustavo,brBRA,GK,31-193,22,22,"1,952",21.7,36,1.66,111,74,70.3,6,5,11,3,13.6,5,3,2,0,40.0,Matches
Alisson,brBRA,GK,29-103,4,3,296,3.3,4,1.22,13,9,69.2,1,2,0,0,0.0,0,0,0,0,,Matches
Squad Total,,,30.9,25,25,"2,248",25.0,40,1.60,124,83,70.2,7,7,11,3,12.0,5,3,2,0,40.0,
Opponent Total,,,28.5,25,25,"2,249",25.0,32,1.28,117,85,72.6,11,7,7,3,12.0,0,0,0,0,,
