Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Hugo Souza,brBRA,GK,25-232,10,10,900,10.0,11,1.10,52,41,84.6,3,4,3,2,20.0,3,3,0,0,0.0,Matches
Matheus Donelli,brBRA,GK,22-125,7,7,630,7.0,12,1.71,40,27,72.5,1,2,4,0,0.0,2,1,1,0,50.0,Matches
Carlos Miguel,brBRA,GK,25-346,6,6,540,6.0,7,1.17,29,24,79.3,1,3,2,2,33.3,1,1,0,0,0.0,Matches
Cássio,brBRA,GK,37-105,3,3,270,3.0,3,1.00,14,11,78.6,0,1,2,1,33.3,0,0,0,0,,Matches
Squad Total,,,26.6,26,26,"2,340",26.0,33,1.27,135,103,79.3,5,10,11,5,19.2,6,5,1,0,16.7,
Opponent Total,,,28.7,26,26,"2,340",26.0,23,0.88,121,97,82.6,11,10,5,12,46.2,3,2,1,0,33.3,
