Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Walter,brBRA,GK,36-306,24,24,"2,160",24.0,38,1.58,125,87,73.6,5,6,13,4,16.7,5,5,0,0,0.0,Matches
Mateus Pasinato,brBRA,GK,32-083,1,1,90,1.0,0,0.00,3,3,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
Squad Total,,,28.4,25,25,"2,250",25.0,38,1.52,128,90,74.2,5,7,13,5,20.0,5,5,0,0,0.0,
Opponent Total,,,28.2,25,25,"2,250",25.0,23,0.92,87,64,78.2,13,7,5,12,48.0,5,4,1,0,20.0,
