Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Lucas Arcanjo,brBRA,GK,26-042,26,26,"2,340",26.0,39,1.50,120,81,69.2,7,4,15,5,19.2,3,2,0,1,0.0,Matches
Squad Total,,,27.6,26,26,"2,340",26.0,39,1.50,120,81,69.2,7,4,15,5,19.2,3,2,0,1,0.0,
Opponent Total,,,28.5,26,26,"2,340",26.0,28,1.08,106,79,78.3,15,4,7,8,30.8,5,5,0,0,0.0,
