Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Anderson,brBRA,GK,26-198,15,15,"1,350",15.0,17,1.13,58,42,72.4,8,2,5,6,40.0,1,1,0,0,0.0,Matches
Cássio,brBRA,GK,37-105,11,11,990,11.0,10,0.91,51,41,82.4,4,3,4,4,36.4,1,1,0,0,0.0,Matches
Squad Total,,,27.5,26,26,"2,340",26.0,27,1.04,109,83,77.1,12,5,9,10,38.5,2,2,0,0,0.0,
Opponent Total,,,28.6,26,26,"2,340",26.0,34,1.31,118,83,74.6,9,5,12,9,34.6,5,4,1,0,20.0,
