Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Gabriel,brBRA,GK,31-358,23,23,"2,024",22.5,31,1.38,116,83,78.4,6,7,10,6,26.1,8,6,2,0,25.0,Matches
Mateus Claus,brBRA,GK,30-047,4,3,316,3.5,5,1.42,26,21,80.8,2,1,0,0,0.0,0,0,0,0,,Matches
Squad Total,,,29.0,26,26,"2,340",26.0,36,1.38,142,104,78.9,8,8,10,6,23.1,8,6,2,0,25.0,
Opponent Total,,,28.3,26,26,"2,340",26.0,31,1.19,106,75,70.8,10,8,8,4,15.4,0,0,0,0,,
