Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
João Ricardo Riedi,brBRA,GK,36-013,26,26,"2,340",26.0,25,0.96,140,115,84.3,14,7,5,8,30.8,3,3,0,0,0.0,Matches
Squad Total,,,30.5,26,26,"2,340",26.0,25,0.96,140,115,84.3,14,7,5,8,30.8,3,3,0,0,0.0,
Opponent Total,,,27.8,26,26,"2,340",26.0,32,1.23,95,65,69.5,5,7,14,5,19.2,3,3,0,0,0.0,
