Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Rafael Pires,brBRA,GK,35-088,15,15,"1,350",15.0,15,1.00,49,35,73.5,6,3,6,6,40.0,2,2,0,0,0.0,Matches
Jandrei,brBRA,GK,31-202,11,11,990,11.0,11,1.00,43,33,76.7,7,2,2,4,36.4,1,1,0,0,0.0,Matches
Squad Total,,,29.0,26,26,"2,340",26.0,26,1.00,92,68,75.0,13,5,8,10,38.5,3,3,0,0,0.0,
Opponent Total,,,28.4,26,26,"2,338",26.0,34,1.31,117,83,72.6,8,5,13,6,23.1,3,2,1,0,33.3,
