Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Agustín Marchesín,arARG,GK,36-187,16,16,"1,440",16.0,17,1.06,69,53,82.6,6,4,6,6,37.5,5,5,0,0,0.0,Matches
Rafael Cabral,brBRA,GK,34-122,5,5,450,5.0,8,1.60,23,15,69.6,1,0,4,1,20.0,1,1,0,0,0.0,Matches
Caíque,brBRA,GK,27-050,3,3,270,3.0,5,1.67,13,9,61.5,1,0,2,0,0.0,0,0,0,0,,Matches
Squad Total,,,28.8,24,24,"2,160",24.0,30,1.25,105,77,77.1,8,4,12,7,29.2,6,6,0,0,0.0,
Opponent Total,,,28.2,24,24,"2,160",24.0,25,1.04,104,79,77.9,12,4,8,8,33.3,2,2,0,0,0.0,
