Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Ronaldo,brBRA,GK,28-028,22,22,"1,979",22.0,34,1.55,96,63,67.7,4,5,13,2,9.1,4,3,1,0,25.0,Matches
Pedro Rangel,brBRA,GK,24-082,4,4,360,4.0,7,1.75,23,16,78.3,0,1,3,1,25.0,2,2,0,0,0.0,Matches
Squad Total,,,27.3,26,26,"2,339",26.0,42,1.62,120,79,69.2,4,6,16,3,11.5,6,5,1,0,16.7,
Opponent Total,,,28.2,26,26,"2,340",26.0,21,0.81,116,96,84.5,16,6,4,9,34.6,4,3,0,1,0.0,
