Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Sergio Rochet,uyURU,GK,31-180,14,14,"1,260",14.0,11,0.79,48,37,77.1,7,4,3,4,28.6,0,0,0,0,,Matches
Fabrício,brBRA,GK,38-256,8,8,720,8.0,8,1.00,34,26,79.4,2,3,3,3,37.5,1,1,0,0,0.0,Matches
Anthoni,brBRA,GK,22-240,2,2,180,2.0,1,0.50,5,3,80.0,1,1,0,1,50.0,1,0,1,0,100.0,Matches
Squad Total,,,28.6,24,24,"2,160",24.0,20,0.83,87,66,78.2,10,8,6,8,33.3,2,1,1,0,50.0,
Opponent Total,,,28.4,24,24,"2,160",24.0,27,1.13,111,82,76.6,6,8,10,5,20.8,5,1,3,1,75.0,
