Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
16,Fluminense,12,4,5,3,13,11,+2,17,1.42,11.9,14.4,-2.5,-0.21,13,3,1,9,8,17,-9,10,0.77,9.1,15.1,-6.0,-0.46
17,Vitória,13,4,2,7,15,19,-4,14,1.08,16.0,18.2,-2.1,-0.16,13,3,2,8,13,20,-7,11,0.85,11.6,12.5,-1.0,-0.07
18,Corinthians,12,4,7,1,17,12,+5,19,1.58,14.6,12.7,+1.8,+0.15,14,1,3,10,6,21,-15,6,0.43,13.8,19.2,-5.3,-0.38
19,Cuiabá,13,2,4,7,11,16,-5,10,0.77,12.4,13.8,-1.4,-0.11,12,3,3,6,12,22,-10,12,1.00,12.0,19.1,-7.1,-0.59
20,Atl Goianiense,13,2,3,8,11,22,-11,9,0.69,16.4,15.1,+1.3,+0.10,13,2,3,8,10,20,-10,9,0.69,12.2,18.2,-6.0,-0.46
