Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
6,Bahia,13,9,2,2,20,7,+13,29,2.23,17.0,10.4,+6.6,+0.51,13,3,4,6,17,20,-3,13,1.00,17.1,16.7,+0.5,+0.04
7,Cruzeiro,13,9,2,2,23,9,+14,29,2.23,18.0,11.9,+6.0,+0.47,13,3,3,7,11,18,-7,12,0.92,9.0,17.7,-8.8,-0.68
8,Internacional,12,6,4,2,17,11,+6,22,1.83,22.5,9.7,+12.8,+1.06,12,4,4,4,10,9,+1,16,1.33,15.1,10.3,+4.8,+0.40
9,Vasco da Gama,12,7,3,2,20,17,+3,24,2.00,12.7,13.0,-0.3,-0.02,13,3,2,8,10,18,-8,11,0.85,11.8,21.3,-9.6,-0.74
10,Atlético Mineiro,12,4,5,3,16,17,-1,17,1.42,14.6,14.0,+0.6,+0.05,12,4,4,4,16,19,-3,16,1.33,15.4,13.5,+1.9,+0.16
