Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
18,Corinthians,12,4,7,1,17,12,+5,19,1.58,14.6,12.7,+1.8,+0.15,14,1,3,10,6,21,-15,6,0.43,13.8,19.2,-5.3,-0.38
19,Cuiabá,13,2,4,7,11,16,-5,10,0.77,12.4,13.8,-1.4,-0.11,12,3,3,6,12,22,-10,12,1.00,12.0,19.1,-7.1,-0.59
20,Atl Goianiense,13,2,3,8,11,22,-11,9,0.69,16.4,15.1,+1.3,+0.10,13,2,3,8,10,20,-10,9,0.69,12.2,18.2,-6.0,-0.46
