Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
4,Flamengo,13,8,3,2,20,13,+7,27,2.08,17.9,11.8,+6.1,+0.47,12,5,3,4,20,16,+4,18,1.50,16.7,17.0,-0.3,-0.02
5,São Paulo,13,9,2,2,19,9,+10,29,2.23,15.1,11.5,+3.6,+0.28,13,4,3,6,15,17,-2,15,1.15,13.9,10.5,+3.4,+0.26
6,Bahia,13,9,2,2,20,7,+13,29,2.23,17.0,10.4,+6.6,+0.51,13,3,4,6,17,20,-3,13,1.00,17.1,16.7,+0.5,+0.04
7,Cruzeiro,13,9,2,2,23,9,+14,29,2.23,18.0,11.9,+6.0,+0.47,13,3,3,7,11,18,-7,12,0.92,9.0,17.7,-8.8,-0.68
8,Internacional,12,6,4,2,17,11,+6,22,1.83,22.5,9.7,+12.8,+1.06,12,4,4,4,10,9,+1,16,1.33,15.1,10.3,+4.8,+0.40
