Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
13,Ath Paranaense,24,8,6,10,27,29,-2,30,1.25,31.9,30.8,+1.2,+0.05,DLLLD,"29,852","Gonzalo Mastriani,Agustín Canobbio-4",Leonardo Linck,
14,Grêmio,24,8,4,12,25,30,-5,28,1.17,27.2,28.6,-1.4,-0.06,WLWLD,"15,968",Franco Cristaldo-4,Agustín Marchesín,
15,Criciúma,25,7,7,11,32,40,-8,28,1.12,28.0,34.1,-6.1,-0.24,DLWLL,"14,455",Yannick Bolasie-6,Gustavo,
16,Fluminense,25,7,6,12,21,28,-7,27,1.08,21.0,29.5,-8.5,-0.34,LDWWL,"23,649",Kauã Elias-5,Fábio,
17,Vitória,26,7,4,15,28,39,-11,25,0.96,27.6,30.7,-3.1,-0.12,LDLLW,"21,382",Alerrandro-6,Lucas Arcanjo,
