Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
15,Criciúma,25,7,7,11,32,40,-8,28,1.12,28.0,34.1,-6.1,-0.24,DLWLL,"14,455",Yannick Bolasie-6,Gustavo,
16,Fluminense,25,7,6,12,21,28,-7,27,1.08,21.0,29.5,-8.5,-0.34,LDWWL,"23,649",Kauã Elias-5,Fábio,
17,Vitória,26,7,4,15,28,39,-11,25,0.96,27.6,30.7,-3.1,-0.12,LDLLW,"21,382",Alerrandro-6,Lucas Arcanjo,
18,Corinthians,26,5,10,11,23,33,-10,25,0.96,28.4,31.9,-3.5,-0.13,DDLWL,"42,896","Yuri Alberto,Rodrigo Garro-4",Hugo Souza,
19,Cuiabá,25,5,7,13,23,38,-15,22,0.88,24.3,32.8,-8.5,-0.34,DLWDL,"5,680",Isidro Pitta-7,Walter,
