Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
4,Flamengo,25,13,6,6,40,29,+11,45,1.80,34.6,28.8,+5.8,+0.23,DLWLD,"53,146",Pedro-11,Agustín Rossi,
5,São Paulo,26,13,5,8,34,26,+8,44,1.69,29.0,22.0,+7.0,+0.27,WLWLW,"38,924",Luciano-7,Rafael Pires,
6,Bahia,26,12,6,8,37,27,+10,42,1.62,34.1,27.1,+7.1,+0.27,WWDLW,"36,034",Everaldo Stum-7,Marcos Felipe,
7,Cruzeiro,26,12,5,9,34,27,+7,41,1.58,26.9,29.7,-2.7,-0.11,DLDWL,"26,316",Matheus Pereira-6,Anderson,
8,Internacional,24,10,8,6,27,20,+7,38,1.58,37.6,20.0,+17.6,+0.73,WDWWW,"17,997","Wesley,Rafael Borré-5",Sergio Rochet,
