Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
10,Atlético Mineiro,24,8,9,7,32,36,-4,33,1.38,30.0,27.5,+2.5,+0.10,DDLWL,"32,293",Hulk-7,Éverson,
11,Juventude,26,8,8,10,31,36,-5,32,1.23,26.9,43.1,-16.2,-0.62,WLLDW,"6,889","Lucas Barbosa,Jean Carlos Vicente-4",Gabriel,
12,Red Bull Bragantino,25,8,7,10,31,32,-1,31,1.24,26.0,30.9,-4.9,-0.20,LLLWD,"6,117",Helinho-7,Cleiton Schwengber,
13,Ath Paranaense,24,8,6,10,27,29,-2,30,1.25,31.9,30.8,+1.2,+0.05,DLLLD,"29,852","Gonzalo Mastriani,Agustín Canobbio-4",Leonardo Linck,
14,Grêmio,24,8,4,12,25,30,-5,28,1.17,27.2,28.6,-1.4,-0.06,WLWLD,"15,968",Franco Cristaldo-4,Agustín Marchesín,
