Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
8,Internacional,24,10,8,6,27,20,+7,38,1.58,37.6,20.0,+17.6,+0.73,WDWWW,"17,997","Wesley,Rafael Borré-5",Sergio Rochet,
9,Vasco da Gama,25,10,5,10,30,35,-5,35,1.40,24.4,34.3,-9.9,-0.39,WDWWD,"19,545",Pablo Vegetti-8,Léo Jardim,
10,Atlético Mineiro,24,8,9,7,32,36,-4,33,1.38,30.0,27.5,+2.5,+0.10,DDLWL,"32,293",Hulk-7,Éverson,
11,Juventude,26,8,8,10,31,36,-5,32,1.23,26.9,43.1,-16.2,-0.62,WLLDW,"6,889","Lucas Barbosa,Jean Carlos Vicente-4",Gabriel,
12,Red Bull Bragantino,25,8,7,10,31,32,-1,31,1.24,26.0,30.9,-4.9,-0.20,LLLWD,"6,117",Helinho-7,Cleiton Schwengber,
