Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
17,Vitória,26,7,4,15,28,39,-11,25,0.96,27.6,30.7,-3.1,-0.12,LDLLW,"21,382",Alerrandro-6,Lucas Arcanjo,
18,Corinthians,26,5,10,11,23,33,-10,25,0.96,28.4,31.9,-3.5,-0.13,DDLWL,"42,896","Yuri Alberto,Rodrigo Garro-4",Hugo Souza,
19,Cuiabá,25,5,7,13,23,38,-15,22,0.88,24.3,32.8,-8.5,-0.34,DLWDL,"5,680",Isidro Pitta-7,Walter,
20,Atl Goianiense,26,4,6,16,21,42,-21,18,0.69,28.6,33.3,-4.7,-0.18,LWWLL,"10,370",Luiz Fernando-6,Ronaldo,
