Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Botafogo (RJ),26,16,5,5,45,25,+20,53,2.04,37.2,27.9,+9.3,+0.36,LWDWW,"17,320",Luiz Henrique-5,John,
2,Palmeiras,26,15,5,6,43,19,+24,50,1.92,45.2,25.3,+19.9,+0.77,DWWWW,"28,817",Estevão-9,Wéverton,
3,Fortaleza,26,14,7,5,32,25,+7,49,1.88,31.4,32.2,-0.9,-0.03,WWLLD,"23,566",Juan Martín Lucero-8,João Ricardo Riedi,
