Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
8,Internacional,23,9,8,6,24,20,+4,35,1.52,34.0,19.6,+14.4,+0.63,LWDWW,"17,997",Wesley-5,Sergio Rochet,
9,Vasco da Gama,24,10,4,10,29,34,-5,34,1.42,23.4,32.2,-8.8,-0.37,DWDWW,"19,545",Pablo Vegetti-8,Léo Jardim,
10,Atlético Mineiro,23,8,9,6,32,33,-1,33,1.43,29.4,26.4,+3.1,+0.13,LDDLW,"32,293",Hulk-7,Éverson,
11,Red Bull Bragantino,24,8,6,10,29,30,-1,30,1.25,24.3,30.1,-5.8,-0.24,DLLLW,"6,117",Helinho-7,Cleiton Schwengber,
12,Ath Paranaense,23,8,5,10,26,28,-2,29,1.26,29.1,29.7,-0.6,-0.03,LDLLL,"29,852",Gonzalo Mastriani-4,Leonardo Linck,
